Sede,Documento de identidad,Grado,Grupo,Periodo,Año,Intensidad Horaria,Asignatura,Cognitiva,Procedimental,Actitudinal,Axiologica,Calificacion_Ponderada,Grupo Asignatura
Girardot,dbf70ef3d4ca81cd82e25cd9fa09a93402f2487aac4d2dc68f8a8c18e8dc4c1f,6,A,II,2024,1.0,Innovación y Emprendimiento,87,87,89,95.0,88.2,Tecnología e Innovación
Girardot,dbf70ef3d4ca81cd82e25cd9fa09a93402f2487aac4d2dc68f8a8c18e8dc4c1f,6,A,II,2024,2.0,Aprendizaje Basado en Investigación,71,73,85,80.0,75.3,Proyectos y Aprendizaje Integral
Girardot,dbf70ef3d4ca81cd82e25cd9fa09a93402f2487aac4d2dc68f8a8c18e8dc4c1f,6,A,II,2024,1.0,Artes,82,86,80,87.0,83.30000000000001,Artes y Educación Física
Girardot,dbf70ef3d4ca81cd82e25cd9fa09a93402f2487aac4d2dc68f8a8c18e8dc4c1f,6,A,II,2024,1.0,Tecnologías Informáticas,56,56,50,40.0,53.2,Tecnología e Innovación
Girardot,dbf70ef3d4ca81cd82e25cd9fa09a93402f2487aac4d2dc68f8a8c18e8dc4c1f,6,A,II,2024,1.0,Integralidad,85,76,80,80.0,80.8,Proyectos y Aprendizaje Integral
Fusagasugá,439b0ff4a1892ad088bb1f2e618c58210a7f24225edf3d77e466be4b491e1680,6,A,II,2023,3.0,Ciencias Naturales,69,67,97,97.0,76.80000000000001,Ciencias y Matemáticas
Fusagasugá,439b0ff4a1892ad088bb1f2e618c58210a7f24225edf3d77e466be4b491e1680,6,A,II,2023,4.0,Ciencias Sociales,64,69,90,90.0,73.3,Lengua y Humanidades
Fusagasugá,439b0ff4a1892ad088bb1f2e618c58210a7f24225edf3d77e466be4b491e1680,6,A,II,2023,6.0,Matemáticas,60,61,90,90.0,69.3,Ciencias y Matemáticas
Fusagasugá,439b0ff4a1892ad088bb1f2e618c58210a7f24225edf3d77e466be4b491e1680,6,A,II,2023,3.0,Lengua Castellana,75,75,90,100.0,80.5,Lengua y Humanidades
Fusagasugá,439b0ff4a1892ad088bb1f2e618c58210a7f24225edf3d77e466be4b491e1680,6,A,II,2023,4.0,Inglés,76,69,95,95.0,79.6,Lengua y Humanidades
Fusagasugá,439b0ff4a1892ad088bb1f2e618c58210a7f24225edf3d77e466be4b491e1680,6,A,II,2023,2.0,Innovación y Emprendimiento,89,89,90,90.0,89.3,Tecnología e Innovación
Fusagasugá,439b0ff4a1892ad088bb1f2e618c58210a7f24225edf3d77e466be4b491e1680,6,A,II,2023,7.0,Aprendizaje Basado en Investigación,89,93,91,91.0,90.8,Proyectos y Aprendizaje Integral
Fusagasugá,439b0ff4a1892ad088bb1f2e618c58210a7f24225edf3d77e466be4b491e1680,6,A,II,2023,3.0,Educación Física,94,94,90,90.0,92.8,Artes y Educación Física
Fusagasugá,439b0ff4a1892ad088bb1f2e618c58210a7f24225edf3d77e466be4b491e1680,6,A,II,2023,2.0,Lectura Crítica,82,88,90,93.0,86.5,Lengua y Humanidades
Fusagasugá,439b0ff4a1892ad088bb1f2e618c58210a7f24225edf3d77e466be4b491e1680,6,A,II,2023,1.0,Artes,89,89,90,95.0,89.8,Artes y Educación Física
Fusagasugá,439b0ff4a1892ad088bb1f2e618c58210a7f24225edf3d77e466be4b491e1680,6,A,II,2023,1.0,Robótica y TICS,79,82,82,81.0,80.7,Tecnología e Innovación
Fusagasugá,439b0ff4a1892ad088bb1f2e618c58210a7f24225edf3d77e466be4b491e1680,6,A,II,2023,1.0,Inteligencia emocional e Integralidad,88,95,100,100.0,93.7,Proyectos y Aprendizaje Integral
Girardot,21c369c8287d98aabacc095b4f0cad63afeede8ca93d5c7c8134e946d01637a2,2,A,III,2023,3.0,Ciencias Naturales,89,90,97,97.0,91.7,Ciencias y Matemáticas
Girardot,21c369c8287d98aabacc095b4f0cad63afeede8ca93d5c7c8134e946d01637a2,2,A,III,2023,3.0,Ciencias Sociales,96,95,100,100.0,96.9,Lengua y Humanidades
Girardot,21c369c8287d98aabacc095b4f0cad63afeede8ca93d5c7c8134e946d01637a2,2,A,III,2023,5.0,Matemáticas,76,78,90,90.0,80.8,Ciencias y Matemáticas
Girardot,21c369c8287d98aabacc095b4f0cad63afeede8ca93d5c7c8134e946d01637a2,2,A,III,2023,4.0,Lengua Castellana,85,87,90,90.0,87.1,Lengua y Humanidades
Girardot,21c369c8287d98aabacc095b4f0cad63afeede8ca93d5c7c8134e946d01637a2,2,A,III,2023,4.0,Inglés,90,90,90,90.0,90.0,Lengua y Humanidades
Girardot,21c369c8287d98aabacc095b4f0cad63afeede8ca93d5c7c8134e946d01637a2,2,A,III,2023,2.0,Creatividad e Innovación,93,93,96,96.0,93.9,Tecnología e Innovación
Girardot,21c369c8287d98aabacc095b4f0cad63afeede8ca93d5c7c8134e946d01637a2,2,A,III,2023,4.0,Aprendizaje Basado en Proyectos,95,96,97,97.0,95.9,Proyectos y Aprendizaje Integral
Girardot,21c369c8287d98aabacc095b4f0cad63afeede8ca93d5c7c8134e946d01637a2,2,A,III,2023,3.0,Educación Física,94,94,93,94.0,93.80000000000001,Artes y Educación Física
Girardot,21c369c8287d98aabacc095b4f0cad63afeede8ca93d5c7c8134e946d01637a2,2,A,III,2023,2.0,Lectura Crítica,87,88,94,96.0,89.6,Lengua y Humanidades
Girardot,21c369c8287d98aabacc095b4f0cad63afeede8ca93d5c7c8134e946d01637a2,2,A,III,2023,1.0,Artes,89,91,90,92.0,90.10000000000001,Artes y Educación Física
Girardot,21c369c8287d98aabacc095b4f0cad63afeede8ca93d5c7c8134e946d01637a2,2,A,III,2023,1.0,Robótica y TICS,87,80,100,100.0,88.80000000000001,Tecnología e Innovación
Girardot,21c369c8287d98aabacc095b4f0cad63afeede8ca93d5c7c8134e946d01637a2,2,A,III,2023,1.0,Inteligencia emocional e Integralidad,90,92,90,91.0,90.69999999999999,Proyectos y Aprendizaje Integral
Girardot,9e488f8738dca9826af8e907694ce4ce50cbe586cd4319c05ffaffef42cab839,1,A,III,2023,3.0,Ciencias Naturales,94,93,98,97.0,94.8,Ciencias y Matemáticas
Girardot,9e488f8738dca9826af8e907694ce4ce50cbe586cd4319c05ffaffef42cab839,1,A,III,2023,3.0,Ciencias Sociales,94,95,90,90.0,93.1,Lengua y Humanidades
Girardot,9e488f8738dca9826af8e907694ce4ce50cbe586cd4319c05ffaffef42cab839,1,A,III,2023,5.0,Matemáticas,85,88,85,93.0,86.7,Ciencias y Matemáticas
Girardot,9e488f8738dca9826af8e907694ce4ce50cbe586cd4319c05ffaffef42cab839,1,A,III,2023,4.0,Lengua Castellana,85,86,91,93.0,87.3,Lengua y Humanidades
Girardot,9e488f8738dca9826af8e907694ce4ce50cbe586cd4319c05ffaffef42cab839,1,A,III,2023,4.0,Inglés,94,94,95,90.0,93.8,Lengua y Humanidades
Girardot,9e488f8738dca9826af8e907694ce4ce50cbe586cd4319c05ffaffef42cab839,1,A,III,2023,2.0,Creatividad e Innovación,91,92,86,90.0,90.2,Tecnología e Innovación
Girardot,9e488f8738dca9826af8e907694ce4ce50cbe586cd4319c05ffaffef42cab839,1,A,III,2023,4.0,Aprendizaje Basado en Proyectos,85,92,95,93.0,89.89999999999999,Proyectos y Aprendizaje Integral
Girardot,9e488f8738dca9826af8e907694ce4ce50cbe586cd4319c05ffaffef42cab839,1,A,III,2023,3.0,Educación Física,87,87,92,90.0,88.30000000000001,Artes y Educación Física
Girardot,9e488f8738dca9826af8e907694ce4ce50cbe586cd4319c05ffaffef42cab839,1,A,III,2023,2.0,Lectura Crítica,87,87,86,90.0,87.10000000000001,Lengua y Humanidades
Girardot,9e488f8738dca9826af8e907694ce4ce50cbe586cd4319c05ffaffef42cab839,1,A,III,2023,1.0,Artes,90,90,90,91.0,90.1,Artes y Educación Física
Girardot,9e488f8738dca9826af8e907694ce4ce50cbe586cd4319c05ffaffef42cab839,1,A,III,2023,1.0,Robótica y TICS,90,100,100,95.0,95.5,Tecnología e Innovación
Girardot,9e488f8738dca9826af8e907694ce4ce50cbe586cd4319c05ffaffef42cab839,1,A,III,2023,1.0,Inteligencia emocional e Integralidad,99,96,95,95.0,96.9,Proyectos y Aprendizaje Integral
Fusagasugá,ffaa277827682903ac86aca7d1eabaee4a6da1663cddc6ac260e85129420cef9,5,A,I,2024,4.0,Ciencias Naturales,63,66,90,90.0,72.0,Ciencias y Matemáticas
Fusagasugá,ffaa277827682903ac86aca7d1eabaee4a6da1663cddc6ac260e85129420cef9,5,A,I,2024,3.0,Ciencias Sociales,83,84,82,80.0,82.80000000000001,Lengua y Humanidades
Fusagasugá,ffaa277827682903ac86aca7d1eabaee4a6da1663cddc6ac260e85129420cef9,5,A,I,2024,5.0,Matemáticas,78,77,86,85.0,80.0,Ciencias y Matemáticas
Fusagasugá,ffaa277827682903ac86aca7d1eabaee4a6da1663cddc6ac260e85129420cef9,5,A,I,2024,3.0,Lengua Castellana,70,71,95,95.0,77.8,Lengua y Humanidades
Fusagasugá,ffaa277827682903ac86aca7d1eabaee4a6da1663cddc6ac260e85129420cef9,5,A,I,2024,2.0,Lectura Crítica,91,92,90,89.0,90.9,Lengua y Humanidades
Fusagasugá,ffaa277827682903ac86aca7d1eabaee4a6da1663cddc6ac260e85129420cef9,5,A,I,2024,4.0,English,67,67,90,100.0,74.9,Lengua y Humanidades
Fusagasugá,ffaa277827682903ac86aca7d1eabaee4a6da1663cddc6ac260e85129420cef9,5,A,I,2024,3.0,Educación Física,91,90,100,88.0,92.2,Artes y Educación Física
Fusagasugá,ffaa277827682903ac86aca7d1eabaee4a6da1663cddc6ac260e85129420cef9,5,A,I,2024,1.0,Creatividad e innovación,85,85,78,90.0,84.1,Tecnología e Innovación
Fusagasugá,ffaa277827682903ac86aca7d1eabaee4a6da1663cddc6ac260e85129420cef9,5,A,I,2024,2.0,Aprendizaje Basado en Proyectos,84,84,70,83.0,81.1,Proyectos y Aprendizaje Integral
Fusagasugá,ffaa277827682903ac86aca7d1eabaee4a6da1663cddc6ac260e85129420cef9,5,A,I,2024,1.0,Artes,90,90,88,89.0,89.5,Artes y Educación Física
Fusagasugá,ffaa277827682903ac86aca7d1eabaee4a6da1663cddc6ac260e85129420cef9,5,A,I,2024,1.0,Tecnologías Informáticas,90,93,90,92.0,91.10000000000001,Tecnología e Innovación
Fusagasugá,ffaa277827682903ac86aca7d1eabaee4a6da1663cddc6ac260e85129420cef9,5,A,I,2024,1.0,Integralidad,94,97,97,97.0,95.80000000000001,Proyectos y Aprendizaje Integral
Girardot,78a00eaf5f26624dc1858b57aa18bc4505fa672a2795645280774403530e7bdb,3,A,III,2023,3.0,Ciencias Naturales,77,77,95,90.0,81.9,Ciencias y Matemáticas
Girardot,78a00eaf5f26624dc1858b57aa18bc4505fa672a2795645280774403530e7bdb,3,A,III,2023,3.0,Ciencias Sociales,79,79,84,88.0,80.89999999999999,Lengua y Humanidades
Girardot,78a00eaf5f26624dc1858b57aa18bc4505fa672a2795645280774403530e7bdb,3,A,III,2023,5.0,Matemáticas,81,81,87,90.0,83.10000000000001,Ciencias y Matemáticas
Girardot,78a00eaf5f26624dc1858b57aa18bc4505fa672a2795645280774403530e7bdb,3,A,III,2023,4.0,Lengua Castellana,75,75,80,80.0,76.5,Lengua y Humanidades
Girardot,78a00eaf5f26624dc1858b57aa18bc4505fa672a2795645280774403530e7bdb,3,A,III,2023,4.0,Inglés,69,69,82,88.0,73.5,Lengua y Humanidades
Girardot,78a00eaf5f26624dc1858b57aa18bc4505fa672a2795645280774403530e7bdb,3,A,III,2023,2.0,Creatividad e Innovación,91,91,91,93.0,91.2,Tecnología e Innovación
Girardot,78a00eaf5f26624dc1858b57aa18bc4505fa672a2795645280774403530e7bdb,3,A,III,2023,4.0,Aprendizaje Basado en Proyectos,87,87,78,81.0,84.6,Proyectos y Aprendizaje Integral
Girardot,78a00eaf5f26624dc1858b57aa18bc4505fa672a2795645280774403530e7bdb,3,A,III,2023,3.0,Educación Física,91,91,95,90.0,91.7,Artes y Educación Física
Girardot,78a00eaf5f26624dc1858b57aa18bc4505fa672a2795645280774403530e7bdb,3,A,III,2023,2.0,Lectura Crítica,83,83,75,90.0,82.1,Lengua y Humanidades
Girardot,78a00eaf5f26624dc1858b57aa18bc4505fa672a2795645280774403530e7bdb,3,A,III,2023,1.0,Artes,88,89,90,89.0,88.80000000000001,Artes y Educación Física
Girardot,78a00eaf5f26624dc1858b57aa18bc4505fa672a2795645280774403530e7bdb,3,A,III,2023,1.0,Robótica y TICS,82,96,100,100.0,91.6,Tecnología e Innovación
Girardot,78a00eaf5f26624dc1858b57aa18bc4505fa672a2795645280774403530e7bdb,3,A,III,2023,1.0,Inteligencia emocional e Integralidad,88,89,88,90.0,88.5,Proyectos y Aprendizaje Integral
Girardot,5580933e174b8914deda8078b0415c3ae96197184210801336c54d238adb68f3,4,A,IV,2023,3.0,Ciencias Naturales,68,67,85,85.0,72.8,Ciencias y Matemáticas
Girardot,5580933e174b8914deda8078b0415c3ae96197184210801336c54d238adb68f3,4,A,IV,2023,4.0,Ciencias Sociales,81,83,88,90.0,83.9,Lengua y Humanidades
Girardot,5580933e174b8914deda8078b0415c3ae96197184210801336c54d238adb68f3,4,A,IV,2023,5.0,Matemáticas,79,81,84,86.0,81.3,Ciencias y Matemáticas
Girardot,5580933e174b8914deda8078b0415c3ae96197184210801336c54d238adb68f3,4,A,IV,2023,3.0,Lengua Castellana,69,69,85,85.0,73.8,Lengua y Humanidades
Girardot,5580933e174b8914deda8078b0415c3ae96197184210801336c54d238adb68f3,4,A,IV,2023,4.0,Inglés,75,74,78,80.0,75.80000000000001,Lengua y Humanidades
Girardot,5580933e174b8914deda8078b0415c3ae96197184210801336c54d238adb68f3,4,A,IV,2023,2.0,Creatividad e Innovación,84,84,75,80.0,81.8,Tecnología e Innovación
Girardot,5580933e174b8914deda8078b0415c3ae96197184210801336c54d238adb68f3,4,A,IV,2023,4.0,Aprendizaje Basado en Proyectos,90,89,95,95.0,91.2,Proyectos y Aprendizaje Integral
Girardot,5580933e174b8914deda8078b0415c3ae96197184210801336c54d238adb68f3,4,A,IV,2023,3.0,Educación Física,100,100,100,100.0,100.0,Artes y Educación Física
Girardot,5580933e174b8914deda8078b0415c3ae96197184210801336c54d238adb68f3,4,A,IV,2023,2.0,Lectura Crítica,82,82,75,82.0,80.60000000000001,Lengua y Humanidades
Girardot,5580933e174b8914deda8078b0415c3ae96197184210801336c54d238adb68f3,4,A,IV,2023,1.0,Artes,89,90,88,89.0,89.10000000000001,Artes y Educación Física
Girardot,5580933e174b8914deda8078b0415c3ae96197184210801336c54d238adb68f3,4,A,IV,2023,1.0,Robótica y TICS,80,86,100,95.0,87.3,Tecnología e Innovación
Girardot,5580933e174b8914deda8078b0415c3ae96197184210801336c54d238adb68f3,4,A,IV,2023,1.0,Inteligencia emocional e Integralidad,87,87,87,90.0,87.30000000000001,Proyectos y Aprendizaje Integral
Fusagasugá,4e2e4a869a140fe3225745e5a44fbd1e31ad44a905fd621ba3ba694b8106617b,6,A,I,2023,3.0,Ciencias Naturales,76,76,97,96.0,82.20000000000002,Ciencias y Matemáticas
Fusagasugá,4e2e4a869a140fe3225745e5a44fbd1e31ad44a905fd621ba3ba694b8106617b,6,A,I,2023,4.0,Ciencias Sociales,87,84,93,94.0,88.0,Lengua y Humanidades
Fusagasugá,4e2e4a869a140fe3225745e5a44fbd1e31ad44a905fd621ba3ba694b8106617b,6,A,I,2023,6.0,Matemáticas,79,80,95,90.0,83.6,Ciencias y Matemáticas
Fusagasugá,4e2e4a869a140fe3225745e5a44fbd1e31ad44a905fd621ba3ba694b8106617b,6,A,I,2023,3.0,Lengua Castellana,81,79,80,85.0,80.6,Lengua y Humanidades
Fusagasugá,4e2e4a869a140fe3225745e5a44fbd1e31ad44a905fd621ba3ba694b8106617b,6,A,I,2023,4.0,Inglés,86,87,97,100.0,89.9,Lengua y Humanidades
Fusagasugá,4e2e4a869a140fe3225745e5a44fbd1e31ad44a905fd621ba3ba694b8106617b,6,A,I,2023,2.0,Innovación y Emprendimiento,83,81,85,100.0,84.5,Tecnología e Innovación
Fusagasugá,4e2e4a869a140fe3225745e5a44fbd1e31ad44a905fd621ba3ba694b8106617b,6,A,I,2023,7.0,Aprendizaje Basado en Investigación,91,91,88,86.0,89.9,Proyectos y Aprendizaje Integral
Fusagasugá,4e2e4a869a140fe3225745e5a44fbd1e31ad44a905fd621ba3ba694b8106617b,6,A,I,2023,3.0,Educación Física,86,85,87,87.0,86.0,Artes y Educación Física
Fusagasugá,4e2e4a869a140fe3225745e5a44fbd1e31ad44a905fd621ba3ba694b8106617b,6,A,I,2023,2.0,Lectura Crítica,94,92,85,95.0,91.7,Lengua y Humanidades
Fusagasugá,4e2e4a869a140fe3225745e5a44fbd1e31ad44a905fd621ba3ba694b8106617b,6,A,I,2023,1.0,Artes,91,87,90,90.0,89.5,Artes y Educación Física
Fusagasugá,4e2e4a869a140fe3225745e5a44fbd1e31ad44a905fd621ba3ba694b8106617b,6,A,I,2023,1.0,Robótica y TICS,83,90,80,90.0,85.2,Tecnología e Innovación
Fusagasugá,4e2e4a869a140fe3225745e5a44fbd1e31ad44a905fd621ba3ba694b8106617b,6,A,I,2023,1.0,Inteligencia emocional e Integralidad,98,91,100,95.0,96.0,Proyectos y Aprendizaje Integral
Fusagasugá,e204d75a964aaef63d5d36325d5a47f1a99cadc434a1cb4f74dd4ea32e7fb872,1,A,IV,2023,3.0,Ciencias Naturales,94,94,100,100.0,95.8,Ciencias y Matemáticas
Fusagasugá,e204d75a964aaef63d5d36325d5a47f1a99cadc434a1cb4f74dd4ea32e7fb872,1,A,IV,2023,3.0,Ciencias Sociales,96,97,95,95.0,96.0,Lengua y Humanidades
Fusagasugá,e204d75a964aaef63d5d36325d5a47f1a99cadc434a1cb4f74dd4ea32e7fb872,1,A,IV,2023,5.0,Matemáticas,92,92,94,94.0,92.60000000000001,Ciencias y Matemáticas
Fusagasugá,e204d75a964aaef63d5d36325d5a47f1a99cadc434a1cb4f74dd4ea32e7fb872,1,A,IV,2023,4.0,Lengua Castellana,96,96,95,95.0,95.7,Lengua y Humanidades
Fusagasugá,e204d75a964aaef63d5d36325d5a47f1a99cadc434a1cb4f74dd4ea32e7fb872,1,A,IV,2023,4.0,Inglés,93,92,100,100.0,94.8,Lengua y Humanidades
Fusagasugá,e204d75a964aaef63d5d36325d5a47f1a99cadc434a1cb4f74dd4ea32e7fb872,1,A,IV,2023,2.0,Creatividad e Innovación,89,89,90,90.0,89.3,Tecnología e Innovación
Fusagasugá,e204d75a964aaef63d5d36325d5a47f1a99cadc434a1cb4f74dd4ea32e7fb872,1,A,IV,2023,4.0,Aprendizaje Basado en Proyectos,93,94,90,87.0,92.10000000000001,Proyectos y Aprendizaje Integral
Fusagasugá,e204d75a964aaef63d5d36325d5a47f1a99cadc434a1cb4f74dd4ea32e7fb872,1,A,IV,2023,3.0,Educación Física,91,92,90,95.0,91.5,Artes y Educación Física
Fusagasugá,e204d75a964aaef63d5d36325d5a47f1a99cadc434a1cb4f74dd4ea32e7fb872,1,A,IV,2023,2.0,Lectura Crítica,95,97,98,100.0,96.69999999999999,Lengua y Humanidades
Fusagasugá,e204d75a964aaef63d5d36325d5a47f1a99cadc434a1cb4f74dd4ea32e7fb872,1,A,IV,2023,1.0,Artes,91,91,90,90.0,90.7,Artes y Educación Física
Fusagasugá,e204d75a964aaef63d5d36325d5a47f1a99cadc434a1cb4f74dd4ea32e7fb872,1,A,IV,2023,1.0,Robótica y TICS,78,89,88,70.0,82.5,Tecnología e Innovación
Fusagasugá,e204d75a964aaef63d5d36325d5a47f1a99cadc434a1cb4f74dd4ea32e7fb872,1,A,IV,2023,1.0,Inteligencia emocional e Integralidad,100,100,100,100.0,100.0,Proyectos y Aprendizaje Integral
Fusagasugá,a6beb5513ddb090e5daef716e593d9d8f2c15e8413fa5634e0f717ac9ff384fd,2,A,I,2023,3.0,Ciencias Naturales,92,92,93,95.0,92.5,Ciencias y Matemáticas
Fusagasugá,a6beb5513ddb090e5daef716e593d9d8f2c15e8413fa5634e0f717ac9ff384fd,2,A,I,2023,3.0,Ciencias Sociales,89,89,95,95.0,90.8,Lengua y Humanidades
Fusagasugá,a6beb5513ddb090e5daef716e593d9d8f2c15e8413fa5634e0f717ac9ff384fd,2,A,I,2023,5.0,Matemáticas,88,87,93,93.0,89.2,Ciencias y Matemáticas
Fusagasugá,a6beb5513ddb090e5daef716e593d9d8f2c15e8413fa5634e0f717ac9ff384fd,2,A,I,2023,4.0,Lengua Castellana,94,91,90,95.0,92.4,Lengua y Humanidades
Fusagasugá,a6beb5513ddb090e5daef716e593d9d8f2c15e8413fa5634e0f717ac9ff384fd,2,A,I,2023,4.0,Inglés,95,94,95,95.0,94.7,Lengua y Humanidades
Fusagasugá,a6beb5513ddb090e5daef716e593d9d8f2c15e8413fa5634e0f717ac9ff384fd,2,A,I,2023,2.0,Creatividad e Innovación,88,88,88,85.0,87.7,Tecnología e Innovación
Fusagasugá,a6beb5513ddb090e5daef716e593d9d8f2c15e8413fa5634e0f717ac9ff384fd,2,A,I,2023,4.0,Aprendizaje Basado en Proyectos,93,94,99,100.0,95.2,Proyectos y Aprendizaje Integral
Fusagasugá,a6beb5513ddb090e5daef716e593d9d8f2c15e8413fa5634e0f717ac9ff384fd,2,A,I,2023,3.0,Educación Física,89,89,85,90.0,88.3,Artes y Educación Física
Fusagasugá,a6beb5513ddb090e5daef716e593d9d8f2c15e8413fa5634e0f717ac9ff384fd,2,A,I,2023,2.0,Lectura Crítica,99,99,100,100.0,99.3,Lengua y Humanidades
Fusagasugá,a6beb5513ddb090e5daef716e593d9d8f2c15e8413fa5634e0f717ac9ff384fd,2,A,I,2023,1.0,Artes,92,92,90,95.0,91.9,Artes y Educación Física
Fusagasugá,a6beb5513ddb090e5daef716e593d9d8f2c15e8413fa5634e0f717ac9ff384fd,2,A,I,2023,1.0,Robótica y TICS,91,95,92,92.0,92.50000000000001,Tecnología e Innovación
Fusagasugá,a6beb5513ddb090e5daef716e593d9d8f2c15e8413fa5634e0f717ac9ff384fd,2,A,I,2023,1.0,Inteligencia emocional e Integralidad,100,100,100,100.0,100.0,Proyectos y Aprendizaje Integral
Fusagasugá,6932b2021520a97a06dfd62071b975a6093a301debb0b4f4cd3e4cf61f771d18,6,A,IV,2023,3.0,Ciencias Naturales,73,75,90,95.0,79.2,Ciencias y Matemáticas
Fusagasugá,6932b2021520a97a06dfd62071b975a6093a301debb0b4f4cd3e4cf61f771d18,6,A,IV,2023,4.0,Ciencias Sociales,73,61,60,96.0,69.1,Lengua y Humanidades
Fusagasugá,6932b2021520a97a06dfd62071b975a6093a301debb0b4f4cd3e4cf61f771d18,6,A,IV,2023,6.0,Matemáticas,68,68,80,80.0,71.6,Ciencias y Matemáticas
Fusagasugá,6932b2021520a97a06dfd62071b975a6093a301debb0b4f4cd3e4cf61f771d18,6,A,IV,2023,3.0,Lengua Castellana,85,86,85,90.0,85.8,Lengua y Humanidades
Fusagasugá,6932b2021520a97a06dfd62071b975a6093a301debb0b4f4cd3e4cf61f771d18,6,A,IV,2023,4.0,Inglés,71,71,90,100.0,77.7,Lengua y Humanidades
Fusagasugá,6932b2021520a97a06dfd62071b975a6093a301debb0b4f4cd3e4cf61f771d18,6,A,IV,2023,2.0,Innovación y Emprendimiento,81,84,82,85.0,82.5,Tecnología e Innovación
Fusagasugá,6932b2021520a97a06dfd62071b975a6093a301debb0b4f4cd3e4cf61f771d18,6,A,IV,2023,7.0,Aprendizaje Basado en Investigación,76,79,68,72.0,74.9,Proyectos y Aprendizaje Integral
Fusagasugá,6932b2021520a97a06dfd62071b975a6093a301debb0b4f4cd3e4cf61f771d18,6,A,IV,2023,3.0,Educación Física,88,88,95,95.0,90.1,Artes y Educación Física
Fusagasugá,6932b2021520a97a06dfd62071b975a6093a301debb0b4f4cd3e4cf61f771d18,6,A,IV,2023,2.0,Lectura Crítica,93,85,60,96.0,84.30000000000001,Lengua y Humanidades
Fusagasugá,6932b2021520a97a06dfd62071b975a6093a301debb0b4f4cd3e4cf61f771d18,6,A,IV,2023,1.0,Artes,82,82,90,90.0,84.4,Artes y Educación Física
Fusagasugá,6932b2021520a97a06dfd62071b975a6093a301debb0b4f4cd3e4cf61f771d18,6,A,IV,2023,1.0,Robótica y TICS,81,85,80,90.0,82.9,Tecnología e Innovación
Fusagasugá,6932b2021520a97a06dfd62071b975a6093a301debb0b4f4cd3e4cf61f771d18,6,A,IV,2023,1.0,Inteligencia emocional e Integralidad,83,83,90,90.0,85.1,Proyectos y Aprendizaje Integral
Fusagasugá,9281e838152cad44551d66d1d1dc0c6973680c8a3ed8def61cf8b070d3d45027,1,B,III,2023,3.0,Ciencias Naturales,96,97,100,98.0,97.3,Ciencias y Matemáticas
Fusagasugá,9281e838152cad44551d66d1d1dc0c6973680c8a3ed8def61cf8b070d3d45027,1,B,III,2023,3.0,Ciencias Sociales,92,92,95,95.0,92.9,Lengua y Humanidades
Fusagasugá,9281e838152cad44551d66d1d1dc0c6973680c8a3ed8def61cf8b070d3d45027,1,B,III,2023,5.0,Matemáticas,85,85,100,100.0,89.5,Ciencias y Matemáticas
Fusagasugá,9281e838152cad44551d66d1d1dc0c6973680c8a3ed8def61cf8b070d3d45027,1,B,III,2023,4.0,Lengua Castellana,94,94,95,95.0,94.3,Lengua y Humanidades
Fusagasugá,9281e838152cad44551d66d1d1dc0c6973680c8a3ed8def61cf8b070d3d45027,1,B,III,2023,4.0,Inglés,90,89,95,95.0,91.2,Lengua y Humanidades
Fusagasugá,9281e838152cad44551d66d1d1dc0c6973680c8a3ed8def61cf8b070d3d45027,1,B,III,2023,2.0,Creatividad e Innovación,94,94,95,95.0,94.3,Tecnología e Innovación
Fusagasugá,9281e838152cad44551d66d1d1dc0c6973680c8a3ed8def61cf8b070d3d45027,1,B,III,2023,4.0,Aprendizaje Basado en Proyectos,97,96,100,97.0,97.3,Proyectos y Aprendizaje Integral
Fusagasugá,9281e838152cad44551d66d1d1dc0c6973680c8a3ed8def61cf8b070d3d45027,1,B,III,2023,3.0,Educación Física,90,89,100,95.0,92.2,Artes y Educación Física
Fusagasugá,9281e838152cad44551d66d1d1dc0c6973680c8a3ed8def61cf8b070d3d45027,1,B,III,2023,2.0,Lectura Crítica,88,90,90,95.0,89.7,Lengua y Humanidades
Fusagasugá,9281e838152cad44551d66d1d1dc0c6973680c8a3ed8def61cf8b070d3d45027,1,B,III,2023,1.0,Artes,94,94,92,92.0,93.4,Artes y Educación Física
Fusagasugá,9281e838152cad44551d66d1d1dc0c6973680c8a3ed8def61cf8b070d3d45027,1,B,III,2023,1.0,Robótica y TICS,92,94,94,97.0,93.5,Tecnología e Innovación
Fusagasugá,9281e838152cad44551d66d1d1dc0c6973680c8a3ed8def61cf8b070d3d45027,1,B,III,2023,1.0,Inteligencia emocional e Integralidad,100,100,100,100.0,100.0,Proyectos y Aprendizaje Integral
Fusagasugá,0fb79e15908605782d77725eb50ac4143dbdc5f4d0615d41f5d900a383392129,5,A,II,2023,3.0,Ciencias Naturales,83,82,82,80.0,82.2,Ciencias y Matemáticas
Fusagasugá,0fb79e15908605782d77725eb50ac4143dbdc5f4d0615d41f5d900a383392129,5,A,II,2023,4.0,Ciencias Sociales,77,63,87,90.0,76.10000000000001,Lengua y Humanidades
Fusagasugá,0fb79e15908605782d77725eb50ac4143dbdc5f4d0615d41f5d900a383392129,5,A,II,2023,5.0,Matemáticas,87,85,80,79.0,84.20000000000002,Ciencias y Matemáticas
Fusagasugá,0fb79e15908605782d77725eb50ac4143dbdc5f4d0615d41f5d900a383392129,5,A,II,2023,3.0,Lengua Castellana,69,71,90,90.0,75.9,Lengua y Humanidades
